"","土地面積","建物面積","屋齡","房屋樓層","車位數目","有無管理","時間序列","單價萬_坪","lon","lat","road.name","price.level","X"
"3104",35.16,85.86765,1,"18",2,1,7,268119.008264463,121.020077,24.788284,"新竹市新竹巿關東路151~180號",">25W",1033
"3105",35.11,85.604475,1,"18",2,1,7,275315.702479339,121.020324,24.788058,"新竹市新竹巿關東路151~180號",">25W",1034
"3106",35.11,85.604475,1,"18",2,1,7,282965.289256198,121.020126,24.788239,"新竹市新竹巿關東路151~180號",">25W",1035
"3107",35.16,85.8858,1,"18",2,1,7,284796.694214876,121.020175,24.788194,"新竹市新竹巿關東路151~180號",">25W",1036
"3108",34.28,84.031475,1,"18",2,1,7,281447.933884298,121.020274,24.788103,"新竹市新竹巿關東路151~180號",">25W",1037
"3109",23.88,52.7439,5,"14",1,1,6,212360.330578512,121.01079,24.7914,"新竹市新竹巿埔頂三路91~120號","20~25W",1038
"3110",14.88,52.3688,17,"12",2,1,7,145123.966942149,120.966893,24.809418,"新竹市新竹巿中正路151~180號","10~15W",1039
"3111",29.97,62.557,1,"11",1,1,7,194542.148760331,120.976091,24.814557,"新竹市新竹巿田美三街5巷31~60號","15~20W",1040
"3112",55.93,46.827,7,"14",1,1,6,202287.603305785,120.969712,24.765665,"新竹市新竹巿市志平路91~120號","20~25W",1041
"3113",47.63,37.573525,7,"14",0,1,6,202271.074380165,120.969524,24.765837,"新竹市新竹巿志平路91~120號","20~25W",1042
"3114",22.75,44.803275,6,"12",1,1,6,245517.355371901,121.019324,24.78144,"新竹市新竹巿光復路一段335巷17弄1~30號","20~25W",1043
"3115",10.25,21.244575,16,"22",0,1,6,181223.140495868,120.968868,24.821264,"新竹市新竹巿武陵路151~180號","15~20W",1044
"3116",22.66,56.721775,9,"14",1,1,6,264433.05785124,120.98452,24.801105,"新竹市新竹巿綠水路61~90號",">25W",1045
"3117",13.92,37.39505,3,"12",1,1,7,224611.570247934,121.009317,24.792808,"新竹市新竹巿慈祥路61~90號","20~25W",1046
"3118",18.83,46.8149,6,"15",0,1,6,149523.966942149,120.951772,24.798976,"新竹市新竹巿牛埔東路1~30號","10~15W",1047
"3119",10.75,37.61285,18,"16",0,1,7,115917.355371901,120.944553,24.795705,"新竹市新竹巿牛埔東路241~270號","10~15W",1048
"3120",52.6,52.849775,10,"12",1,1,4,132449.58677686,120.966861,24.817281,"新竹市新竹巿武陵路86巷1~30號","10~15W",1049
"3121",22.74,57.417525,1,"14",1,1,6,220357.024793388,121.011819,24.788835,"新竹市新竹巿光復路一段544巷121~150號","20~25W",1050
"3122",32.72,94.413275,2,"24",4,1,6,270988.429752066,121.020403,24.786939,"新竹市新竹巿關新路181~210號",">25W",1051
"3123",26,58.1163,16,"21",1,1,6,150558.67768595,120.968621,24.821489,"新竹市新竹巿武陵路175巷1~30號","15~20W",1052
"3124",18.83,46.454925,6,"15",1,1,7,154558.67768595,120.951733,24.799012,"新竹市新竹巿牛埔東路1~30號","15~20W",1053
"3125",31.36,85.5228,2,"11",0,0,7,195854.545454545,120.964599,24.804307,"新竹市新竹巿江山街1~30號","15~20W",1054
